"region_name","google_maps_buildings_avail_for_solar","percent_gmap_covered_by_proj_sunroof","percent_covered_that_suitable_for_solar","available_buildings","total_panels_potential","kw_total_all_panel_250w","total_energy_potential","carbon_offset","current_buildings_with_solar_panel","building_gap"
"79936",31973,99.2,97.8,31019,2316613,579153.25,970367210.642968,417872,260,30759
"77449",31637,91.3,97.7,28220,2184475,546118.75,693878416.461884,340299,15,28205
"77494",31622,95.2,98.8,29743,2659296,664824,839324934.831494,512611,18,29725
"32162",30403,88.0,99.5,26621,2373487,593371.75,798184535.527082,426646,98,26523
"75034",27743,85.8,96.7,23018,2301909,575477.25,772008032.810682,375417,78,22940
"77084",26876,95.8,97.2,25026,2147076,536769,680693360.172168,331012,18,25008
"77479",26867,95.7,97.1,24966,1814029,453507.25,570173718.301093,277268,30,24936
"78660",26231,90.0,98.0,23136,1961742,490435.5,646631779.166101,314448,141,22995
"77573",26002,93.4,95.2,23120,1817565,454391.25,577911702.133954,281031,31,23089
"77584",25423,93.3,96.5,22889,1909959,477489.75,605892904.929828,294638,34,22855
"73099",24905,82.6,98.2,20201,1868120,467030,643875426.658392,435565,30,20171
"92345",24776,93.1,96.4,22236,1908880,477220,804518054.534619,219337,1163,21073
"63376",24104,97.8,91.8,21641,1783139,445784.75,548921501.259125,463179,111,21530
"75052",23925,98.8,90.7,21440,1375410,343852.5,461809873.926977,224572,77,21363
"77429",23882,88.4,87.7,18515,1629171,407292.75,514824578.88966,250352,8,18507
"92592",23608,94.4,97.8,21796,1558483,389620.75,613244615.812115,167190,1846,19950
"92336",23471,99.0,97.9,22748,1192879,298219.75,471232210.218683,128473,1359,21389
"94565",23381,96.2,97.4,21908,1668219,417054.75,595976743.398108,162457,401,21507
"78613",23374,93.5,97.0,21199,1818601,454650.25,602884142.367242,293174,65,21134
"93722",23281,96.5,97.8,21972,2027247,506811.75,743791853.492718,202781,1044,20928
"37013",23261,98.4,95.6,21882,1561561,390390.25,474755043.033453,362531,12,21870
"78130",23003,84.0,89.9,17371,2026852,506713,656125333.773834,319065,86,17285
"85308",22975,99.3,98.9,22563,1779291,444822.75,715632118.151038,308175,1007,21556
"92503",22287,99.5,96.3,21355,1526202,381550.5,589917714.433093,160830,93,21262
"37042",22262,99.0,87.8,19351,1374600,343650,418354924.102832,319463,8,19343
"90650",22217,99.1,90.7,19969,1048358,262089.5,398628086.535467,108678,141,19828
"74012",22160,97.9,98.6,21391,1972201,493050.25,639691630.826703,432735,27,21364
"76244",22142,97.1,98.7,21220,1551342,387835.5,530898407.475049,258169,35,21185
"95630",21939,96.8,96.0,20387,1716481,429120.25,606165724.399866,165260,1954,18433
"60629",21658,99.8,88.9,19215,782475,195618.75,225583258.508939,186750,16,19199
"87114",21643,94.7,97.4,19963,1634697,408674.25,678353692.226934,292121,209,19754
"92683",21638,99.7,96.7,20861,1591088,397772,591964398.840045,161388,950,19911
"23464",21557,99.7,88.6,19042,1183696,295924,367633030.761921,215818,144,18898
"99301",21553,82.1,92.5,16368,1928451,482112.75,609947878.173864,162190,32,16336
"87120",21382,95.7,98.6,20176,1387491,346872.75,578772554.916729,249239,208,19968
"77433",21269,74.4,96.6,15286,1548552,387138,496660168.367102,241519,2,15284
"45011",21237,90.4,89.5,17182,1585029,396257.25,463537699.823367,383742,24,17158
"75002",21228,93.4,97.5,19331,1504149,376037.25,501805841.643402,244021,80,19251
"91710",21196,99.3,90.7,19090,2017218,504304.5,778790282.044445,212322,494,18596
"73160",21133,95.9,99.0,20064,1684197,421049.25,575867125.266204,389559,15,20049
"87121",21091,92.6,97.4,19022,1489932,372483,620395677.507812,267163,52,18970
"93065",21028,99.3,98.1,20484,1696739,424184.75,651511056.47196,177622,1213,19271
"94558",20962,83.2,90.8,15836,1914454,478613.5,675945568.093591,184284,1148,14688
"93274",20943,78.3,97.3,15956,1983184,495796,733335221.958185,199930,873,15083
"87105",20879,92.2,88.7,17075,1310432,327608,538391959.877643,231849,71,17004
"85032",20823,99.2,97.0,20037,1521992,380498,606861914.525946,261335,401,19636
"77379",20693,93.7,81.6,15822,1299380,324845,406900175.958063,197870,0,15822
"83709",20639,94.7,95.4,18646,1426387,356596.75,479238978.813135,127434,59,18587
"28269",20639,96.1,83.7,16601,1630203,407550.75,525934898.278558,308748,31,16570
"78521",20611,82.0,95.9,16208,1889543,472385.75,626006337.809125,304418,0,16208
"78245",20592,88.1,98.8,17924,1442459,360614.75,469148847.503235,228141,40,17884
"93307",20571,83.5,94.7,16266,1506883,376720.75,563566598.579718,153646,225,16041
"77450",20536,99.2,97.3,19822,1562148,390537,491521547.649749,239943,23,19799
"95747",20506,89.3,99.1,18147,1470916,367729,521931787.407977,142295,1885,16262
"95624",20449,96.2,97.0,19082,1565631,391407.75,558229182.857703,152191,1113,17969
"85142",20431,89.1,97.9,17822,1800429,450107.25,724428480.61623,311963,354,17468
"30906",20356,91.1,89.6,16616,1774962,443740.5,577178026.592731,343182,11,16605
"87124",20329,94.3,98.8,18940,1579826,394956.5,654015124.273542,281640,201,18739
"85225",20288,99.7,95.3,19276,1502730,375682.5,598694568.79793,257818,308,18968
"85364",20162,98.4,96.4,19125,1661952,415488,666126389.625092,286856,375,18750
"93230",20141,79.2,97.0,15473,1637138,409284.5,613776781.581176,167335,188,15285
"66062",20120,93.7,89.6,16892,1509208,377302,476464171.641034,330736,64,16828
"77845",20082,79.4,93.5,14909,1728135,432033.75,559638681.726263,272145,72,14837
"92509",20073,97.9,93.4,18354,1335883,333970.75,517477381.994293,141080,472,17882
"70072",20035,95.1,97.0,18482,1536062,384015.5,500662724.795716,305905,316,18166
"91709",19998,99.4,92.0,18288,790438,197609.5,306276469.203192,83500,610,17678
"79912",19982,91.2,97.7,17804,1532360,383090,633901976.102222,272979,259,17545
"93536",19969,85.6,97.4,16649,1368432,342108,566319083.353033,154396,0,16649
"34668",19903,98.7,96.0,18858,1414705,353676.25,492449038.410352,263224,318,18540
"37075",19865,87.4,95.2,16529,1598308,399577,480314076.793768,366776,33,16496
"77459",19830,84.0,96.8,16124,1395907,348976.75,439337729.003833,213644,27,16097
"75070",19718,65.8,98.3,12754,1276183,319045.75,422987415.909027,205693,88,12666
"77095",19697,98.1,94.8,18318,1220975,305243.75,385314678.028095,187373,3,18315
"48180",19664,97.3,77.7,14866,1539199,384799.75,431871064.004971,340155,7,14859
"80013",19502,98.8,92.8,17881,763508,190877,276400512.602936,168296,529,17352
"92335",19501,99.1,90.9,17567,1392659,348164.75,546345613.928589,148951,489,17078
"95648",19468,86.2,97.5,16362,1712890,428222.5,610079254.196899,166327,1581,14781
"93312",19437,97.0,98.5,18571,1643824,410956,609997458.713604,166304,1657,16914
"37211",19413,99.1,88.8,17084,1793111,448277.75,543937545.359222,415360,25,17059
"87111",19412,99.0,97.4,18718,1533648,383412,632668926.37489,272448,319,18399
"94533",19407,97.2,96.9,18279,1552375,388093.75,560667893.67016,152855,934,17345
"21234",19390,99.3,85.0,16366,789708,197427,236616229.511768,150360,61,16305
"44060",19343,98.8,79.0,15098,1919664,479916,513625481.601239,425207,24,15074
"60617",19316,98.6,80.7,15370,754871,188717.75,218036920.540284,180503,26,15344
"80015",19232,98.4,96.0,18167,818155,204538.75,299353443.901086,182271,291,17876
"85345",19226,98.7,96.6,18331,1295691,323922.75,523711307.149811,225527,438,17893
"30024",19199,85.6,88.0,14462,1903667,475916.75,611435297.914182,363551,15,14447
"94509",19083,98.5,96.7,18176,1413818,353454.5,508059791.868609,138513,686,17490
"33024",19068,99.3,98.2,18594,1546596,386649,521343304.219769,278669,121,18473
"76179",19068,86.6,98.2,16216,1527776,381944,520393855.050574,253060,68,16148
"85207",19058,95.1,95.0,17218,1352834,338208.5,545792180.113318,235036,346,16872
"93727",19044,94.1,96.3,17257,1983909,495977.25,724603217.357233,197549,1530,15727
"73013",19008,93.8,99.0,17651,1812813,453203.25,616336014.286261,416936,36,17615
"30043",18919,96.5,77.4,14131,1655468,413867,529979945.1565,315119,31,14100
"95758",18909,99.3,99.1,18608,1273553,318388.25,452550863.507177,123379,727,17881
"77083",18860,98.4,97.9,18169,1412013,353003.25,444106867.947858,215963,13,18156
"65807",18851,98.5,98.5,18290,1932770,483192.5,613569332.408697,416308,17,18273
"94513",18813,83.1,97.3,15211,1420791,355197.75,519590253.33703,141656,1466,13745
"83646",18762,88.3,98.1,16252,1214220,303555,411748478.057715,109487,25,16227
"34787",18681,96.0,94.1,16876,1694261,423565.25,573644114.649274,306625,566,16310
"92253",18670,92.2,98.2,16904,1581559,395389.75,628735298.470733,270754,332,16572
"32174",18661,90.5,89.0,15031,1676159,419039.75,557810746.369794,298161,739,14292
"92399",18637,95.4,89.1,15842,956898,239224.5,383068124.484802,104436,1011,14831
"84118",18538,98.1,95.5,17367,973685,243421.25,327330120.887628,87040,82,17285
"39503",18532,88.2,92.0,15038,1713118,428279.5,567080211.85683,337178,18,15020
"29072",18520,82.6,87.1,13324,1286300,321575,412172757.481006,241965,17,13307
"34711",18497,82.1,97.0,14730,1619325,404831.25,544174669.641638,290873,612,14118
"95823",18491,98.8,97.2,17758,1395005,348751.25,492717139.307721,134330,218,17540
"75035",18491,87.2,99.1,15979,1220253,305063.25,405477523.722894,197178,74,15905
"30349",18490,95.9,80.7,14310,1787524,446881,572869144.363227,340620,13,14297
"28277",18473,98.2,91.2,16544,1176250,294062.5,375808590.796967,220617,29,16515
